排名,书名,作者,出版社,价格,评论数,页码
74,抱抱（0-3岁） 信谊世界精选图画书,作绘者,杰兹・阿波罗,¥45.80,205017,4
75,一起长大的玩具 二年级下册 语文教科书配套书目 人教版快乐读书吧...,曹文轩,陈先云,¥12.80,485121,4
76,波西和皮普7册经典套装(小小聪明豆系列绘本)0-4岁低幼启蒙情绪管...,阿克塞尔・舍夫勒,未知,¥65.70,404229,4
77,杀死一只知更鸟（豆瓣9.3，关于勇气与正义的成长教科书，影响全球...,哈珀・李,李育超,¥34.80,1244022,4
78,我的阿勒泰（马伊�P、周依然、于适、蒋奇明主演的同名电视剧）新...,李娟,未知,¥35.50,445530,4
79,青铜葵花正版曹文轩纯美小说7-8-9-10-12岁草房子系列儿童文学校园...,曹文轩,未知,¥21.80,587966,4
80,小英雄雨来 红色经典故事快乐读书吧六年级上册推荐阅读中小学生课...,管桦,未知,¥13.50,291799,4
81,长安的荔枝,马伯庸,博集天卷,¥29.00,587348,5
82,炙热的你：关于了不起的女性更年期的一切,希拉,马心湖,¥71.10,24821,5
83,哪吒三界往事 哪吒之魔童闹海电影原创番外绘本 官方授权电影主创...,可可豆动画,彩条屋影业,¥117.60,55286,5
84,钢铁是怎样炼成的 七年级下 名著阅读课程化丛书 升级版 人民教育...,尼古拉,奥斯特洛夫斯基,¥34.35,3991,5
85,妈妈买绿豆（3-8岁） 信谊幼儿文学奖,曾阳晴,万华国,¥35.80,362454,5
86,人间信（麦家《人生海海》后长篇新作！命运不仅是承受，还要奋力...,麦家,新经典,¥39.00,46179,5
87,草房子（曹文轩正版小说无删减版，7-8-9-10-12岁小学课外阅读推荐...,曹文轩,未知,¥9.90,506542,5
88,米小圈脑筋急转弯（第一辑）（套装共4册）,北猫,未知,¥51.20,772279,5
89,新版・长青藤国际大奖小说书系・第6辑：十二岁的旅程,赖清河,未知,¥23.80,85457,5
90,大力水手 英汉对照版 漫画大师埃尔兹・西格传世之作,西格,未知,¥20.80,11075,5
91,人一生要去的100个地方 少年游学地理百科,日知图书,未知,¥9.90,285298,5
92,中国古代寓言 三年级下册 语文教科书配套书目 人教版快乐读书吧,曹文轩,陈先云,¥21.00,359088,5
93,在北大听讲座（1-21辑）,文池,未知,¥423.30,11207,5
94,国之脊梁――中国院士的科学人生百年,中国科学院学部,科学人生・百年,¥39.00,72385,5
95,河清海晏 （  知乎24W高赞、15000+评论热议、200万读者含泪力荐！...,橘子不酸,嘉树文化,¥30.20,84931,5
96,屁屁侦探桥梁书平装11册（第一辑+第二辑+番外+2册新书送游戏册）,Troll,陈涵石,¥174.80,13996,5
97,超级沟通者 与所有人连接的秘密（当当专享附赠卡牌） 查尔斯・都...,查尔斯・都希格,未知,¥46.90,336,5
98,意林成长卷：何以为青春,意林,未知,¥29.80,6314,5
99,世界上最经典的500道思维名题（新版）,达夫,未知,¥40.80,309,5
100,哪吒（从小魔童到大英雄！一本书讲完哪吒的前世今生：比封神更燃...,周楞伽,未知,¥28.00,21880,5
